Model,Horizon (hours),MAE,RMSE,Masked MAPE (%)
Persistence,5,11.285906040268456,15.24460296180544,205.8501807454913
Historical hour-of-week,5,4.131633109619687,6.20513088732696,51.85417429937695
LSTM,5,4.318808134909446,6.532583225235981,
STGCN (identity graph),5,4.796646902425177,6.576905375510802,78.62007473865845
STGCN (real distance graph),5,5.033560970485611,6.937421495543489,82.17436475664078
Persistence,10,13.20526845637584,16.991834793936455,276.57827860156743
Historical hour-of-week,10,4.131633109619687,6.20513088732696,51.85417429937695
STGCN (identity graph),10,4.7508582161816975,6.620520551511978,76.16459969857233
STGCN (real distance graph),10,4.817765889855839,6.863175516902619,75.33844077692001
Persistence,15,12.863892617449665,16.62872908169723,238.75643403678177
Historical hour-of-week,15,4.131633109619687,6.20513088732696,51.85417429937695
STGCN (identity graph),15,5.259763047551148,7.551999699583963,79.94178782469294
STGCN (real distance graph),15,5.583520808939966,7.577518726124449,96.73630608645719
